Date,Index Value
2023-11-10,100.0
2023-11-13,99.75581534868992
2023-11-14,102.26979329203444
2023-11-15,102.99094849445098
2023-11-16,102.82442106717662
2023-11-17,103.12919660311431
2023-11-20,103.67516085012122
2023-11-21,103.32320918254158
2023-11-22,103.43061404858612
2023-11-24,103.84890678448109
2023-11-27,103.33947930718305
2023-11-28,103.02233594821394
2023-11-29,103.24957756570728
2023-11-30,104.02773887071042
2023-12-01,105.76557034547314
2023-12-04,106.29421148966651
2023-12-05,104.38789895889857
2023-12-06,104.4557287030978
2023-12-07,104.92917201044801
2023-12-08,105.18936350208257
2023-12-11,106.0030346761709
2023-12-12,106.29539205370767
2023-12-13,108.74629923476843
2023-12-14,110.55862934769819
2023-12-15,109.88646610575466
2023-12-18,110.25680697412234
2023-12-19,111.25330007248992
2023-12-20,109.52459001282308
2023-12-21,110.69334003910792
2023-12-22,111.79874387525939
2023-12-26,112.51312991017757
2023-12-27,112.6710138299914
2023-12-28,112.8354634505053
2023-12-29,112.24217571330509
2024-01-02,112.10493699506124
2024-01-03,110.08934113287043
2024-01-04,109.76164114537013
2024-01-05,110.41917156542627
2024-01-08,111.71170874388697
2024-01-09,111.11748948622616
2024-01-10,111.48290383148928
2024-01-11,111.08085696403865
2024-01-12,110.49626616607411
2024-01-16,109.74868788988749
2024-01-17,108.67378590470189
2024-01-18,108.85962839192246
2024-01-19,109.78289604950244
2024-01-22,110.44165997177844
2024-01-23,110.74103772743247
2024-01-24,109.90864618968271
2024-01-25,111.23827739620062
2024-01-26,111.77843751855016
2024-01-29,112.36562998295103
2024-01-30,112.60136783220325
2024-01-31,111.41199972094746
2024-02-01,112.64901728728013
2024-02-02,111.82807664063468
2024-02-05,110.00377706834702
2024-02-06,110.34686664879669
2024-02-07,109.6533792669444
2024-02-08,109.0946808727901
2024-02-09,109.61571051869488
2024-02-12,110.47479683215865
2024-02-13,108.13148716306402
2024-02-14,109.14690371809465
2024-02-15,109.92712391353491
2024-02-16,109.53805493530271
2024-02-20,109.45859448771925
2024-02-21,110.01010896290006
2024-02-22,110.7270854751175
2024-02-23,111.03452739884698
2024-02-26,110.73978434501755
2024-02-27,110.99851185978353
2024-02-28,110.76070600592976
2024-02-29,111.68063591317528
2024-03-01,112.25887240508331
2024-03-04,112.24524920794377
2024-03-05,112.05639111418178
2024-03-06,112.464678454907
2024-03-07,112.79388051076606
2024-03-08,113.03903729907954
2024-03-11,113.49606436657079
2024-03-12,113.54969445134005
2024-03-13,113.47301197335953
2024-03-14,112.40921803001044
2024-03-15,112.12758095991055
2024-03-18,112.75837780653998
2024-03-19,113.20184527511461
2024-03-20,114.03503025438265
2024-03-21,114.44388175665492
2024-03-22,113.70892929923251
2024-03-25,113.28619442750802
2024-03-26,113.20399002927428
2024-03-27,115.22398873233708
2024-03-28,115.70441466034626
2024-04-01,114.54984897622066
2024-04-02,113.46370187719502
2024-04-03,113.47304528403795
2024-04-04,112.39332855226826
2024-04-05,112.80926788326278
2024-04-08,113.02168517373633
2024-04-09,113.1774411946478
2024-04-10,111.10078801275394
2024-04-11,111.18241153031093
2024-04-12,109.19506034583918
2024-04-15,108.49528382781601
2024-04-16,107.8187789791406
2024-04-17,107.6359812369463
2024-04-18,108.08805921540021
2024-04-19,108.67584236904166
2024-04-22,109.66931702767432
2024-04-23,110.55130247091834
2024-04-24,110.85328758234856
2024-04-25,109.21433660093219
2024-04-26,109.73979079751128
2024-04-29,110.36793624449045
2024-04-30,108.90412223295252
2024-05-01,108.77599009377853
2024-05-02,109.64899810940979
2024-05-03,110.6544207952958
2024-05-06,111.19561253172293
2024-05-07,111.62701714917348
2024-05-08,111.73056780277277
2024-05-09,111.49318026668217
2024-05-10,111.88674724053666
2024-05-13,112.07580423635297
2024-05-14,112.34089850606121
2024-05-15,112.84243014672863
2024-05-16,112.73547991377866
2024-05-17,112.83198650660334
2024-05-20,112.89919356260842
2024-05-21,112.783812039741
2024-05-22,112.03741949976204
2024-05-23,110.79900291189254
2024-05-24,111.25817393715647
2024-05-28,110.69356600641476
2024-05-29,109.64768985496941
2024-05-30,110.85194085410433
2024-05-31,112.68438233993386
2024-06-03,112.47618516786657
2024-06-04,111.72740887800195
2024-06-05,112.08371372485836
2024-06-06,111.58872121539943
2024-06-07,111.42320073848725
2024-06-10,111.2586983962079
2024-06-11,110.8011360145886
2024-06-12,111.24118007643999
2024-06-13,110.61636744552398
2024-06-14,109.16617057742015
2024-06-17,109.72322642811868
2024-06-18,109.56135720244278
2024-06-20,109.7811859839995
2024-06-21,110.49859502917434
2024-06-24,110.9714736567143
