Date,Index Value
2023-11-08,100.0
2023-11-09,99.16480103926553
2023-11-10,100.49461707949744
2023-11-13,100.24922464919648
2023-11-14,102.77563715682358
2023-11-15,103.50035931604096
2023-11-16,103.33300821566924
2023-11-17,103.63929122346183
2023-11-20,104.18795590288236
2023-11-21,103.83426342224331
2023-11-22,103.9421995310995
2023-11-24,104.36256121430851
2023-11-27,103.85061402170011
2023-11-28,103.487232379239
2023-11-29,103.71549944248623
2023-11-30,104.49717226186272
2023-12-01,106.24284583846581
2023-12-04,106.77387251759166
2023-12-05,104.85895760090601
2023-12-06,104.92709343218533
