Date,AA,ACRS,AEO,AHCO,AME,ANSS,APD,ARMK,AUR,AVTR,AWI,AXTA,BDN,BSY,BV,CABA,CCNE,CEIX,CMCSA,CNX,COHR,COR,CRS,CTLP,CUBE,CUBI,DGICA,DKS,DORM,DUOL,ECVT,ENS,EPAM,EQT,ESNT,ETRN,FCF,FIVE,FMC,FNB,FOLD,FOUR,FULT,GLPI,GMED,HCSG,HLNE,HRMY,HSY,HT,HWM,IRT,KHC,KMT,KOP,KRYS,KWR,LMB,LNC,LTHM,MATW,MDGL,MLYS,MNTK,MPB,MSA,NVRI,NWBI,OFLX,OLLI,OSUR,PENN,PFIS,PNC,PPG,PPL,RDN,SEIC,SEM,STBA,TFX,TGI,TOL,UGI,UHS,UHT,URBN,UTZ,UVSP,VPG,VSH,VSTS,VTRS,WAB,WCC,WMK,WST,WTRG,X,YORW,close_mkt_cap,mkt_cap_deleted_stock,adj_mkt_cap,divisor,gross_index_level,Index Value
2023-11-10,4351980666.88,303976782.0,3363480619.5199995,540068452.08,34638979564.8,25193689158.4,58777727071.2,7404129676.8,1265278270.08,12464629923.839998,3572802419.7599998,6578821778.88,647188123.76,11569655870.08,284152500.8,684560903.52,401757740.08000004,2312523419.92,171141494464.0,3224744214.72,5060722408.32,33549488144.8,3176607402.0,377188178.76,8132981179.36,1189176746.3999999,216907247.69,6677288553.200001,1757104600.1599998,7224892080.72,906002079.36,3452831381.52,13309671355.199999,15974659719.04,5022411757.92,3593891491.2,1235884697.28,9617554676.64,6351075433.92,3953857980.7999997,2982597196.8,3161326262.3999996,2148591129.6,11358254793.6,5144361612.8,702432360.64,3035520340.48,792597054.6800001,28222231072.64,377082455.52,19353635400.0,2892870500.4,25868280746.88,1804296912.1599998,828116024.48,2404068029.44,2262459731.61,343725690.97999996,3692587766.4,2449280460.0,1095227795.8400002,2170715072.9500003,118001791.08,386362022.016,287935588.2,5941451661.92,456045780.08,1334156588.0800002,214661381.87,4837327672.16,454110459.35999995,3536422612.7999997,267516732.96,47642962593.6,30307241184.0,18435603763.2,4140823413.7599998,6831256074.32,2279472054.16,987833645.76,9373990687.72,765333342.72,8583941557.999999,4291578575.0400004,7718201847.0,498031869.11999995,2372199325.9599996,820406267.8399999,500141288.42999995,327720295.65000004,2750659155.72,2165152417.44,11014292886.4,19958666492.48,7131015127.999999,1004863724.6800001,25101386282.399998,8160424142.4,6824687001.599999,426329929.77000004,850840304383.406,0.0,850840304383.406,1.0,850840304383.406,100.0
2023-11-13,4344915763.2,41136057.9936,3269346608.64,595883386.72,34772206409.28,25136656625.92,58678085040.0,7406725795.200001,1286249733.1200001,12494851278.720001,3539684117.7599998,6662769135.36,626148197.76,11516133946.24,284350516.47999996,667714885.76,398735490.28,2294868723.2400002,169425585472.0,3220117608.96,5035403903.04,33770241976.8,3255606177.8399997,376007621.08,8066006313.76,1192049154.0,215852104.72,6553283461.0,1759997169.8400002,7292912780.160001,922418878.08,3473808976.08,13275739752.0,16244033132.8,5004778342.0,3657920592.48,1253810502.72,9360223340.400002,6349835957.839999,3939711798.4,2945314731.8399997,3247945498.56,2157393551.36,11308041465.6,5098949638.4,713488483.84,3019041224.96,807929041.4399999,28701985418.480003,377082455.52,19662199920.0,2791424945.2799997,26139626349.12,1786103650.8799999,816919863.84,2430411307.36,2286474127.5899997,334246217.97999996,3669100156.8,2308558164.48,1091996168.76,2289109171.1499996,116717168.16000001,520532390.4,290135809.2,6040859143.84,447050022.84,1335411674.24,214131925.70999998,4867457207.679999,459725426.4,3420034020.48,271176069.12,47302796982.72,30415472928.000004,18151979089.920002,4111201559.52,6786575771.200001,2276350914.88,994473304.32,9553475686.640001,788662087.6800001,8502749329.200001,4291578575.0400004,7671981521.16,496122237.71999997,2292478422.3199997,823746684.24,500567666.34,335080858.44,2692287061.128,2126070243.8400002,10709502361.6,20065074879.68,7107783775.6,1000625169.0600001,24838359901.92,8109557740.799999,6763185461.76,426563599.22999996,848762682952.9418,0.0,850840304383.406,1.0,848762682952.9418,99.75581534868992
2023-11-14,4623979458.56,43516676.160000004,3374342236.1600003,665062460.6400001,35537112257.76,25755373190.4,59423186006.64,6799234089.6,1502954851.2,12639242196.48,3687612533.36,6810781579.679999,714515886.96,11875176852.0,308508429.44,668863477.88,430368371.52,2408052258.12,171059784512.0,3280263483.84,5275185041.280001,32997603564.8,3338412123.6000004,397257659.32000005,8610735220.64,1270178640.72,221127819.57,6761540816.799999,1870966661.2,7496291253.36,981929773.44,3759426994.3199997,14009793434.56,16288928701.759998,5137547591.28,3705426054.7200003,1334476627.2,9920585446.8,6540715274.160001,4166050716.7999997,3091576709.7599998,3501182628.48,2277426575.36,11574172104.0,5363270617.6,737811954.88,3096055866.88,836259886.54,29159631269.12,377462196.15999997,20123093760.0,3001004773.44,26395241771.52,1910292434.3999999,877699021.6,2507245867.96,2421451594.6499996,364485736.85,3898943193.6,2508063191.04,1145171123.4399998,2450883117.5,131215055.4,540299443.1999999,320058814.8,6143975860.16,484206411.44000006,1429543136.24,225349778.1,5021794216.16,477272198.4,3582679617.44,283438055.2,50099274737.28,31415440128.000004,18719228436.48,4168886223.04,6960466680.64,2412640663.44,1075993556.64,9839339523.04,817634883.84,9185405042.4,4554859219.92,7858047961.080001,528204045.24,2385597797.16,863831681.04,538344749.166,346296954.12,2820479225.76,2166455156.56,11014292886.4,20492481901.6,7508777119.200001,1045130003.0699999,25520171301.600002,8586733032.000001,6824687001.599999,453552421.86,870152620538.226,0.0,848762682952.9418,1.0,870152620538.226,102.26979329203444
2023-11-15,4759978854.4,51695251.4736,3542697294.08,653270573.0400001,35174183957.28,25801172042.239998,60586783504.32,7022500272.0,1468002412.8,12954887458.56,3650520035.12,6841709553.12,728823036.64,11839495569.44,306132241.28000003,665034837.48,425129805.20000005,2412889161.3199997,173756212928.0,3335782752.96,5376459062.400001,32815906180.0,3235142639.52,397847938.16,8749149942.88,1304647531.92,215701370.01000002,6990564575.599999,1864655600.08,7005106604.64,977825573.76,3669868802.16,14342888672.64,16868489682.88,5101243499.68,3707491509.6,1334476627.2,10013616437.28,6778694681.5199995,4227940264.8,3057735703.104,3470838310.08,2294231198.7200003,11486298780.0,5335324787.2,751816377.5999999,3157600318.72,839959561.6060001,28847164536.96,376322974.24,20134811400.0,2989856910.2400002,26403106861.44,1923739627.52,856506288.96,2430899145.84,2429318379.54,374628772.96000004,3976116768.0,2586440165.7599998,1118142969.68,2533884271.0,125158975.92,546289459.1999999,311404612.2,6156216333.68,477166253.59999996,1430170679.32,235607991.20000002,4950467152.4800005,487098390.72,3643858236.48,277788553.76,51024841632.0,31438968768.0,18770135429.12,4129910099.04,7049827286.88,2412640663.44,1072304857.44,9917600606.119999,801079000.3199999,9101007857.199999,4582956363.84,7878195282.599999,524130164.92,2422443592.9599996,885210346.0,538088922.42,348399972.06,2856961784.88,2249830460.24,11193581430.4,20371885729.440002,7443628326.599999,1037631020.05,25423189507.679996,8579466403.200001,6816751319.04,447243346.44,876288499657.5436,0.0,870152620538.226,1.0,876288499657.5436,102.99094849445098
2023-11-16,4588654940.16,56654872.6536,3470286516.4800005,651305258.44,35357945122.08,26076829282.559998,60571283632.8,7178267376.0,1478488144.3200002,12961603315.2,3635947982.2400002,6817409002.559999,695159155.04,11841725649.6,285538610.56,666949157.6800001,422309038.72,2372017329.2799997,173306808192.0,3263299262.72,5281142336.64,33437413122.399998,3182318156.88,391354870.92,8778172384.64,1255242121.2,213741818.78,6846979732.0,1845196494.96,7107992185.2,962434824.96,3568208151.6,14476352978.56,16346068516.8,4950840834.48,3703360599.84,1313563187.52,9788927553.84,6621281219.360001,4169587262.3999996,3037373741.4719996,3551388682.5600004,2262222392.32,11423532120.0,5379572352.0,745551241.12,3103790961.92,861924299.16,28863377433.440002,376702714.88,20126999640.0,2954183748.0,26599734109.44,1873905911.8400002,847509374.16,2398945725.4,2383497807.8999996,372922467.82000005,3909009312.0,2361997010.88,1121080812.4799998,2641707467.575,122589730.08,546888460.8000001,310964568.0,6150281558.64,455654660.2,1406951585.3600001,227269056.68000004,4770919716.320001,483939971.76,3683400514.64,276889769.44,51179102781.119995,31810721279.999996,18922856407.04,3995832232.48,7040166680.799999,2402236865.84,1052754751.68,10015075488.04,800326460.16,9097802900.8,4512193186.559999,7968858229.44,511526597.68,2364160243.24,905252844.4000001,532403883.62,348984143.71000004,2807899032.96,2148216808.8799996,10984411462.4,20348830578.879997,7424437209.4,1001277254.5400001,25296084580.8,8550399887.999999,6830638763.5199995,447827520.09,874871617188.4406,0.0,876288499657.5436,1.0,874871617188.4406,102.82442106717662
2023-11-17,4631044362.24,60968143.2024,3549938371.8399997,671351467.3599999,35759922670.08,25873758901.760002,59783004452.64,7193844086.400001,1541402533.44,12988466741.76,3669507861.6,6863800962.72,700208737.28,11794893966.24,285538610.56,687623815.84,425935738.48,2446505638.56,173306808192.0,3298769906.88,5373480414.719999,33109678587.199997,3256082074.08,395781962.22,8717895005.599998,1334233330.2,214043288.2,7008957675.4,1875436996.1599998,7234121019.839999,976799523.8399999,3583941347.52,14604162017.28,16472592392.96,5019299978.64,3765324246.2400002,1328999297.76,9864005195.28,6651028645.28,4229708537.6000004,3085840945.92,3567940128.96,2285428776.96,11393404123.2,5302721318.4,742971479.04,3130359331.84,899587657.9399999,28884012028.96,377086252.9264,20107470240.0,2925199303.68,26473892670.719997,1902382320.8,865303272.32,2540662803.84,2418967346.79,377946588.51,3989538259.2000003,2449280460.0,1077894523.32,2766600712.7,125158975.92,555274483.1999999,317271868.2,6184406515.12,465432657.2,1413227016.16,232133435.15,4746324177.12,501486743.76,3667732819.52,278815735.84,51523223806.079994,31968363168.0,18981035827.2,4048839761.12,7001524256.48,2415761802.72,1064189719.2,9966806676.32,810485752.3199999,9164038666.4,4684938589.92,8057150903.16,511144671.4,2463308930.1200004,880199721.4000001,535814906.90000004,354241688.56,2829285360.72,2141703113.2800002,11283225702.4,20485388009.120003,7666346292.000001,999157976.73,25181469733.440002,8618221756.8,6783024668.16,445257156.03,877464770286.099,0.0,874871617188.4406,1.0,877464770286.099,103.12919660311431
2023-11-20,4673433784.32,60123407.724,3575282144.0,668993089.84,35564676432.48,26134639531.392002,60310000084.32,7232785862.4,1548393021.12,13055625308.160002,3684079914.4800005,6850546116.96,698525543.2,11817194767.84,291479080.96000004,688389543.92,425532771.84000003,2443845341.7999997,175492549408.0,3304938714.56,5419649453.76,33274394907.999996,3245136460.56,396372241.06,8751382438.400002,1317860606.88,215098431.17,7058797042.6,1895947944.8,7405710924.96,1000398672.0,3606129187.92,14730274475.840002,16354231347.52,5059753109.28,3748800607.2,1324517846.4,10054963544.16,6659704977.839999,4204952718.4,3163273757.7599998,3562974695.04,2287029217.2799997,11353233460.8,5285255174.4,755501752.0,3152219383.04,926585286.8000001,28462476720.480003,377841936.79999995,20103564360.0,2978709047.04,26591869019.52,1862831752.8,863303957.92,2555541877.48,2445051949.32,369889036.46000004,3969406022.4,2572189806.72,1051453938.12,2973320566.7000003,118001791.08,554076480.0,315365010.0,6221869782.56,459174739.12,1404441413.04,225895779.76500002,4768460162.4,507101710.79999995,3916923780.0,279457724.64,51558822532.799995,31900130112.000004,19031942819.84,4058194030.88,7040166680.799999,2432407878.88,1059394410.24,10058658007.359999,815753533.4399999,9192883274.0,4628744302.08,8057150903.16,506561556.03999996,2470008165.72,863163597.76,535814906.90000004,355877369.18,2858219804.16,2107831896.1599998,11319083411.2,20504896213.440002,7739070525.6,994104314.26,25656092755.2,8485000228.8,6765169382.400001,435509634.5061,882110054147.1571,0.0,877464770286.099,1.0,882110054147.1571,103.67516085012122
2023-11-21,4662836428.8,57435613.019999996,3010478078.72,654056698.88,35691012233.28,25884992582.4,61204564097.76,7237978099.2,1541402533.44,13297731940.032,3680547295.6,6832872989.28,677485617.2,11745832202.720001,289894955.52000004,674989302.52,417070472.4,2451100696.6,174001342784.0,3297227704.96,5230505326.08,33765147657.600002,3214679101.2,393420846.86,8691105059.36,1279944826.5600002,212988145.23000002,7212515890.864,1877803644.08,7341791976.24,985007923.1999999,3560543261.28,14590589376.0,16333824270.720001,4952915354.0,3734342423.0399995,1314559065.6,10150714739.04,6595252221.68,4120075624.0,3085840945.92,3513320355.84,2245417768.96,11225189474.4,5346968883.2,732652430.7199999,3140784894.72,915586252.8199999,28091054001.12,377462196.15999997,20314481880.0,2965331611.2000003,26859282076.8,1826445230.24,856106426.08,2469682305.0,2381565615.12,367234784.02000004,3945918412.7999997,2470655998.56,1027951195.72,2949516462.3,110661088.68,554675481.6,305977400.4,6133590003.84,449005622.24,1384987577.56,225085050.01999998,4740175292.320001,503943291.84,3785613573.28,270983472.48,50617433981.76,32149533695.999996,19126484377.600002,3970887513.12,6964089407.92,2407438764.64,1037999954.88,10152852484.6,816506073.6,9079641481.199999,4576712554.08,8065446859.080001,497140707.79999995,2436511987.72,875189096.8,531011049.114,353190179.59000003,2801608936.56,2135189417.68,11223462854.400002,20581155557.6,7679982085.799999,998342869.88,25932343925.76,8419600569.599999,6808815636.4800005,435209369.25,879115507507.4401,0.0,882110054147.1571,1.0,879115507507.4401,103.32320918254158
2023-11-22,4659303976.96,51784844.6304,3038537255.04,667420838.16,35736952524.48,25795987266.559998,60752853556.32,7302881059.2,1509945338.88,13492155989.76,3677456254.08,6839279498.064,683376796.4799999,11609797312.960001,290290986.88,706001289.76,417674922.36,2512287522.08,173470228096.0,3272552474.24,5363055147.84,33907788595.2,3236094432.0,396372241.06,8601805238.56,1301200642.8,214495492.33,7225521592.4,1910936714.96,7472706186.72,992190272.64,3558526184.8799996,14399441344.64,16448103900.8,5003741082.24,3744669697.4399996,1328003419.68,10393901012.400002,6585336413.04,4130685260.7999997,3051426362.88,3517734074.88,2250219089.92,11245274805.6,5355119750.400001,732652430.7199999,3158945552.6400003,949249962.88,28251709066.24,378221677.44000006,20416034760.0,2987627337.6,27284783441.472,1821699162.0800002,846509716.96,2492366794.32,2411514603.21,381643582.97999996,4028125046.4,2433248806.08,1024132000.0799999,2982716923.7000003,109192948.2,543893452.8,312724744.8,6158441874.32,449787862.0,1384987577.56,226044689.31,4812117244.4800005,508856388.0,3854252999.52,276055184.0,50593701497.28,32142475104.000004,19082849812.48,3964651333.2799997,6971334862.48,2455296233.6000004,1039475434.56,10224552758.32,799950190.08,9114896001.599998,4591281443.5199995,8198774722.080001,497395325.32,2131703467.1556,891891178.8,534393647.20000005,354241688.56,2801608936.56,2174532139.104,11187605145.599998,20629039331.84,7712455476.219999,1003396532.3499999,25800830735.52,8468044761.6,6884204620.8,440116427.91,880029351396.616,0.0,879115507507.4401,1.0,880029351396.616,103.43061404858612
2023-11-24,4645174169.6,53672700.4344,3014098617.6,676854348.24,35854100267.04,25763150353.92,60781639032.0,7295092704.0,1516935826.56,13646620692.48,3677456254.08,6883683231.36,683376796.4799999,11652168836.0,296231457.28000003,713658570.5600001,424726838.55999994,2528007457.48,174042197760.0,3272552474.24,5382416357.76,34176089406.399998,3259413347.7599998,409063236.12,8617432707.2,1297035651.78,216455043.56,7327573630.0,1917773697.8400002,7569780953.76,1005528921.6,3618231646.3199997,14447793879.199999,16668500330.240002,5018781348.76,3781847885.2799997,1316550821.76,10390636767.12,6577899556.56,4162514171.2,3039954835.2,3524354653.44,2259821731.8399997,11260338804.0,5390052038.4,737811954.88,3185850231.04,968914902.42,28245813467.519997,379740640.0,20408223000.0,3004349132.4,27488489270.4,1833564332.48,865003375.16,2511392495.04,2441684413.332,382781119.74,4033158105.6,2433248806.08,1008561433.2399999,3058200991.6,114881992.56,542096448.0,315658372.8,6192566830.799999,453307940.92,1390007922.1999998,235971992.31,4754625171.6,518331644.88,3920654183.6,273423029.92,50902223795.52,32109535008.0,19130120591.36,3959974198.3999996,7005146983.76,2451134714.56,1040582044.32,10306562875.32,821773854.72,9142672290.4,4570468744.320001,8216551770.48,504015380.84000003,2180601187.7999997,896500953.432,535530654.96,359849736.40000004,2804124975.12,2193812678.08,11259320563.2,20760276342.72,7799472041.84,1014808028.25,25954385242.559998,8550399887.999999,6915947351.04,447009676.97999996,883588354583.9185,0.0,880029351396.616,1.0,883588354583.9185,103.84890678448109
2023-11-27,4643407943.68,55579754.772,3120904514.56,687860110.0,35383212282.24,25681058072.32,60121787358.71999,7276919875.200001,1506450095.04,13465292563.2,3715873484.4,6875951238.0,685059990.5600001,11513903866.08,296627488.64,715572890.76,419085305.6,2530184063.92,171876884032.0,3287974493.44,5401777567.68,34272881471.2,3486891750.48,410538933.22,8648687644.48,1284827919.48,217660921.23999998,7204161863.6,1907518223.5200002,7585162518.96,990138172.8000001,3599674543.44,14444683482.24,16423615408.640001,5008927381.04,3763258791.3599997,1312567309.44,10391180808.0,6445275616.0,4134221806.3999996,3022747543.68,3590560439.04,2255020410.88,11242764139.2,5364435027.2,733758043.04,3210400750.08,960582300.92,27763848272.16,379360899.36,20552740560.0,2985397764.96,27464894000.640003,1820908150.72,884896553.4399999,2455291069.84,2428076255.61,377472614.86,4038191164.8,2365541787.6912,1029420117.12,3089522181.6,117818273.52,524725401.59999996,313164789.0,6230401021.68,452134581.28000003,1373691802.1200001,228725061.12,4708201091.36,511663871.52,3931099313.68,274642808.64,50973421248.96,32297764128.000004,19090122240.0,3958415153.44,6967712135.200001,2436569397.92,1036893345.12,10255950917.4,821773854.72,9124510870.8,4566306204.4800005,8131814506.44,507707334.88000005,2220126677.84,883874179.44,526718844.82000005,357980387.12,2843123572.8,2201629112.7999997,11157723721.6,20701751729.760002,7810784700.4,1008776237.5600001,26009488534.559998,8537077735.2,6906027747.84,444556147.65,879253940285.4631,0.0,883588354583.9185,1.0,879253940285.4631,103.33947930718305
