Ticker,Name,Sector,Industry Name,Market Capitalization
TGI UN Equity,Triumph Group Inc,Industrials,Aerospace & Defense,582253824
CABA UW Equity,Cabaletta Bio Inc,Health Care,Biotechnology,559154944
UHT UN Equity,Universal Health Realty Income Trust,Real Estate,Health Care REITs,518743488
NVRI UN Equity,Enviri Corp,Industrials,Commercial Services & Supplies,510432416
YORW UW Equity,York Water Co/The,Utilities,Water Utilities,509877728
UVSP UW Equity,Univest Financial Corp,Financials,Banks,498066016
CTLP UW Equity,Cantaloupe Inc,Financials,Financial Services,471792256
DGICA UW Equity,Donegal Group Inc,Financials,Insurance,468666592
VPG UN Equity,Vishay Precision Group Inc,Information Technology,"Electronic Equipment, Instruments & Components",432339552
HT UN Equity,Hersha Hospitality Trust,Real Estate,Hotel & Resort REITs,396236576
OSUR UW Equity,OraSure Technologies Inc,Health Care,Health Care Equipment & Supplies,392768608
ACRS UW Equity,Aclaris Therapeutics Inc,Health Care,Pharmaceuticals,376627488
CCNE UW Equity,CNB Financial Corp/PA,Financials,Banks,367425024
MLYS UW Equity,Mineralys Therapeutics Inc,Health Care,Biotechnology,341561632
LMB UR Equity,Limbach Holdings Inc,Industrials,Construction & Engineering,322400320
MPB UQ Equity,Mid Penn Bancorp Inc,Financials,Banks,319530848
PFIS UW Equity,Peoples Financial Services Corp,Financials,Banks,281563680
