Date,AA,ACRS,AEO,AHCO,AME,ANSS,APD,ARMK,AUR,AVTR,AWI,AXTA,BDN,BSY,BV,CABA,CCNE,CEIX,CMCSA,CNX,COHR,COR,CRS,CTLP,CUBE,CUBI,DGICA,DKS,DORM,DUOL,ECVT,ENS,EPAM,EQT,ESNT,ETRN,FCF,FIVE,FMC,FNB,FOLD,FOUR,FULT,GLPI,GMED,HCSG,HLNE,HRMY,HSY,HT,HWM,IRT,KHC,KMT,KOP,KRYS,KWR,LMB,LNC,LTHM,MATW,MDGL,MLYS,MNTK,MPB,MSA,NVRI,NWBI,OFLX,OLLI,OSUR,PENN,PFIS,PNC,PPG,PPL,RDN,SEIC,SEM,STBA,TFX,TGI,TOL,UGI,UHS,UHT,URBN,UTZ,UVSP,VPG,VSH,VSTS,VTRS,WAB,WCC,WMK,WST,WTRG,X,YORW,close_market_cap,gross_change_mkt_cap,mkt_cap_deleted_stock,adj_mkt_cap,divisor,gross_index_level,Index Value
11/10/2023,4351980667,303976782,3363480620,540068452.1,34638979565,25193689158,58777727071,7404129677,1265278270,12464629924,3572802420,6578821779,647188123.8,11569655870,284152500.8,684560903.5,401757740.1,2312523420,1.71141E+11,3224744215,5060722408,33549488145,3176607402,377188178.8,8132981179,1189176746,216907247.7,6677288553,1757104600,7224892081,906002079.4,3452831382,13309671355,15974659719,5022411758,3593891491,1235884697,9617554677,6351075434,3953857981,2982597197,3161326262,2148591130,11358254794,5144361613,702432360.6,3035520340,792597054.7,28222231073,377082455.5,19353635400,2892870500,25868280747,1804296912,828116024.5,2404068029,2262459732,343725691,3692587766,2449280460,1095227796,2170715073,118001791.1,386362022,287935588.2,5941451662,456045780.1,1334156588,214661381.9,4837327672,454110459.4,3536422613,267516733,47642962594,30307241184,18435603763,4140823414,6831256074,2279472054,987833645.8,9373990688,765333342.7,8583941558,4291578575,7718201847,498031869.1,2372199326,820406267.8,500141288.4,327720295.7,2750659156,2165152417,11014292886,19958666492,7131015128,1004863725,25101386282,8160424142,6824687002,426329929.8,8.5084E+11,0,0,8.5084E+11,1,8.5084E+11,100
11/13/2023,4344915763,41136057.99,3269346609,595883386.7,34772206409,25136656626,58678085040,7406725795,1286249733,12494851279,3539684118,6662769135,626148197.8,11516133946,284350516.5,667714885.8,398735490.3,2294868723,1.69426E+11,3220117609,5035403903,33770241977,3255606178,376007621.1,8066006314,1192049154,215852104.7,6553283461,1759997170,7292912780,922418878.1,3473808976,13275739752,16244033133,5004778342,3657920592,1253810503,9360223340,6349835958,3939711798,2945314732,3247945499,2157393551,11308041466,5098949638,713488483.8,3019041225,807929041.4,28701985418,377082455.5,19662199920,2791424945,26139626349,1786103651,816919863.8,2430411307,2286474128,334246218,3669100157,2308558164,1091996169,2289109171,116717168.2,520532390.4,290135809.2,6040859144,447050022.8,1335411674,214131925.7,4867457208,459725426.4,3420034020,271176069.1,47302796983,30415472928,18151979090,4111201560,6786575771,2276350915,994473304.3,9553475687,788662087.7,8502749329,4291578575,7671981521,496122237.7,2292478422,823746684.2,500567666.3,335080858.4,2692287061,2126070244,10709502362,20065074880,7107783776,1000625169,24838359902,8109557741,6763185462,426563599.2,8.48763E+11,-2077621430,0,8.5084E+11,1,8.48763E+11,99.75581535
11/14/2023,4623979459,43516676.16,3374342236,665062460.6,35537112258,25755373190,59423186007,6799234090,1502954851,12639242196,3687612533,6810781580,714515887,11875176852,308508429.4,668863477.9,430368371.5,2408052258,1.7106E+11,3280263484,5275185041,32997603565,3338412124,397257659.3,8610735221,1270178641,221127819.6,6761540817,1870966661,7496291253,981929773.4,3759426994,14009793435,16288928702,5137547591,3705426055,1334476627,9920585447,6540715274,4166050717,3091576710,3501182628,2277426575,11574172104,5363270618,737811954.9,3096055867,836259886.5,29159631269,377462196.2,20123093760,3001004773,26395241772,1910292434,877699021.6,2507245868,2421451595,364485736.9,3898943194,2508063191,1145171123,2450883118,131215055.4,540299443.2,320058814.8,6143975860,484206411.4,1429543136,225349778.1,5021794216,477272198.4,3582679617,283438055.2,50099274737,31415440128,18719228436,4168886223,6960466681,2412640663,1075993557,9839339523,817634883.8,9185405042,4554859220,7858047961,528204045.2,2385597797,863831681,538344749.2,346296954.1,2820479226,2166455157,11014292886,20492481902,7508777119,1045130003,25520171302,8586733032,6824687002,453552421.9,8.70153E+11,21389937585,0,8.48763E+11,1,8.70153E+11,102.2697933
11/15/2023,4759978854,51695251.47,3542697294,653270573,35174183957,25801172042,60586783504,7022500272,1468002413,12954887459,3650520035,6841709553,728823036.6,11839495569,306132241.3,665034837.5,425129805.2,2412889161,1.73756E+11,3335782753,5376459062,32815906180,3235142640,397847938.2,8749149943,1304647532,215701370,6990564576,1864655600,7005106605,977825573.8,3669868802,14342888673,16868489683,5101243500,3707491510,1334476627,10013616437,6778694682,4227940265,3057735703,3470838310,2294231199,11486298780,5335324787,751816377.6,3157600319,839959561.6,28847164537,376322974.2,20134811400,2989856910,26403106861,1923739628,856506289,2430899146,2429318380,374628773,3976116768,2586440166,1118142970,2533884271,125158975.9,546289459.2,311404612.2,6156216334,477166253.6,1430170679,235607991.2,4950467152,487098390.7,3643858236,277788553.8,51024841632,31438968768,18770135429,4129910099,7049827287,2412640663,1072304857,9917600606,801079000.3,9101007857,4582956364,7878195283,524130164.9,2422443593,885210346,538088922.4,348399972.1,2856961785,2249830460,11193581430,20371885729,7443628327,1037631020,25423189508,8579466403,6816751319,447243346.4,8.76288E+11,6135879119,0,8.70153E+11,1,8.76288E+11,102.9909485
11/16/2023,4588654940,56654872.65,3470286516,651305258.4,35357945122,26076829283,60571283633,7178267376,1478488144,12961603315,3635947982,6817409003,695159155,11841725650,285538610.6,666949157.7,422309038.7,2372017329,1.73307E+11,3263299263,5281142337,33437413122,3182318157,391354870.9,8778172385,1255242121,213741818.8,6846979732,1845196495,7107992185,962434825,3568208152,14476352979,16346068517,4950840834,3703360600,1313563188,9788927554,6621281219,4169587262,3037373741,3551388683,2262222392,11423532120,5379572352,745551241.1,3103790962,861924299.2,28863377433,376702714.9,20126999640,2954183748,26599734109,1873905912,847509374.2,2398945725,2383497808,372922467.8,3909009312,2361997011,1121080812,2641707468,122589730.1,546888460.8,310964568,6150281559,455654660.2,1406951585,227269056.7,4770919716,483939971.8,3683400515,276889769.4,51179102781,31810721280,18922856407,3995832232,7040166681,2402236866,1052754752,10015075488,800326460.2,9097802901,4512193187,7968858229,511526597.7,2364160243,905252844.4,532403883.6,348984143.7,2807899033,2148216809,10984411462,20348830579,7424437209,1001277255,25296084581,8550399888,6830638764,447827520.1,8.74872E+11,-1416882469,0,8.76288E+11,1,8.74872E+11,102.8244211
11/17/2023,4631044362,60968143.2,3549938372,671351467.4,35759922670,25873758902,59783004453,7193844086,1541402533,12988466742,3669507862,6863800963,700208737.3,11794893966,285538610.6,687623815.8,425935738.5,2446505639,1.73307E+11,3298769907,5373480415,33109678587,3256082074,395781962.2,8717895006,1334233330,214043288.2,7008957675,1875436996,7234121020,976799523.8,3583941348,14604162017,16472592393,5019299979,3765324246,1328999298,9864005195,6651028645,4229708538,3085840946,3567940129,2285428777,11393404123,5302721318,742971479,3130359332,899587657.9,28884012029,377086252.9,20107470240,2925199304,26473892671,1902382321,865303272.3,2540662804,2418967347,377946588.5,3989538259,2449280460,1077894523,2766600713,125158975.9,555274483.2,317271868.2,6184406515,465432657.2,1413227016,232133435.2,4746324177,501486743.8,3667732820,278815735.8,51523223806,31968363168,18981035827,4048839761,7001524256,2415761803,1064189719,9966806676,810485752.3,9164038666,4684938590,8057150903,511144671.4,2463308930,880199721.4,535814906.9,354241688.6,2829285361,2141703113,11283225702,20485388009,7666346292,999157976.7,25181469733,8618221757,6783024668,445257156,8.77465E+11,2593153098,0,8.74872E+11,1,8.77465E+11,103.1291966
11/20/2023,4673433784,60123407.72,3575282144,668993089.8,35564676432,26134639531,60310000084,7232785862,1548393021,13055625308,3684079914,6850546117,698525543.2,11817194768,291479081,688389543.9,425532771.8,2443845342,1.75493E+11,3304938715,5419649454,33274394908,3245136461,396372241.1,8751382438,1317860607,215098431.2,7058797043,1895947945,7405710925,1000398672,3606129188,14730274476,16354231348,5059753109,3748800607,1324517846,10054963544,6659704978,4204952718,3163273758,3562974695,2287029217,11353233461,5285255174,755501752,3152219383,926585286.8,28462476720,377841936.8,20103564360,2978709047,26591869020,1862831753,863303957.9,2555541877,2445051949,369889036.5,3969406022,2572189807,1051453938,2973320567,118001791.1,554076480,315365010,6221869783,459174739.1,1404441413,225895779.8,4768460162,507101710.8,3916923780,279457724.6,51558822533,31900130112,19031942820,4058194031,7040166681,2432407879,1059394410,10058658007,815753533.4,9192883274,4628744302,8057150903,506561556,2470008166,863163597.8,535814906.9,355877369.2,2858219804,2107831896,11319083411,20504896213,7739070526,994104314.3,25656092755,8485000229,6765169382,435509634.5,8.8211E+11,4645283861,0,8.77465E+11,1,8.8211E+11,103.6751609
11/21/2023,4662836429,57435613.02,3010478079,654056698.9,35691012233,25884992582,61204564098,7237978099,1541402533,13297731940,3680547296,6832872989,677485617.2,11745832203,289894955.5,674989302.5,417070472.4,2451100697,1.74001E+11,3297227705,5230505326,33765147658,3214679101,393420846.9,8691105059,1279944827,212988145.2,7212515891,1877803644,7341791976,985007923.2,3560543261,14590589376,16333824271,4952915354,3734342423,1314559066,10150714739,6595252222,4120075624,3085840946,3513320356,2245417769,11225189474,5346968883,732652430.7,3140784895,915586252.8,28091054001,377462196.2,20314481880,2965331611,26859282077,1826445230,856106426.1,2469682305,2381565615,367234784,3945918413,2470655999,1027951196,2949516462,110661088.7,554675481.6,305977400.4,6133590004,449005622.2,1384987578,225085050,4740175292,503943291.8,3785613573,270983472.5,50617433982,32149533696,19126484378,3970887513,6964089408,2407438765,1037999955,10152852485,816506073.6,9079641481,4576712554,8065446859,497140707.8,2436511988,875189096.8,531011049.1,353190179.6,2801608937,2135189418,11223462854,20581155558,7679982086,998342869.9,25932343926,8419600570,6808815636,435209369.3,8.79116E+11,-2994546640,0,8.8211E+11,1,8.79116E+11,103.3232092
11/22/2023,4659303977,51784844.63,3038537255,667420838.2,35736952524,25795987267,60752853556,7302881059,1509945339,13492155990,3677456254,6839279498,683376796.5,11609797313,290290986.9,706001289.8,417674922.4,2512287522,1.7347E+11,3272552474,5363055148,33907788595,3236094432,396372241.1,8601805239,1301200643,214495492.3,7225521592,1910936715,7472706187,992190272.6,3558526185,14399441345,16448103901,5003741082,3744669697,1328003420,10393901012,6585336413,4130685261,3051426363,3517734075,2250219090,11245274806,5355119750,732652430.7,3158945553,949249962.9,28251709066,378221677.4,20416034760,2987627338,27284783441,1821699162,846509717,2492366794,2411514603,381643583,4028125046,2433248806,1024132000,2982716924,109192948.2,543893452.8,312724744.8,6158441874,449787862,1384987578,226044689.3,4812117244,508856388,3854253000,276055184,50593701497,32142475104,19082849812,3964651333,6971334862,2455296234,1039475435,10224552758,799950190.1,9114896002,4591281444,8198774722,497395325.3,2131703467,891891178.8,534393647.2,354241688.6,2801608937,2174532139,11187605146,20629039332,7712455476,1003396532,25800830736,8468044762,6884204621,440116427.9,8.80029E+11,913843889.2,0,8.79116E+11,1,8.80029E+11,103.430614
11/24/2023,4645174170,53672700.43,3014098618,676854348.2,35854100267,25763150354,60781639032,7295092704,1516935827,13646620692,3677456254,6883683231,683376796.5,11652168836,296231457.3,713658570.6,424726838.6,2528007457,1.74042E+11,3272552474,5382416358,34176089406,3259413348,409063236.1,8617432707,1297035652,216455043.6,7327573630,1917773698,7569780954,1005528922,3618231646,14447793879,16668500330,5018781349,3781847885,1316550822,10390636767,6577899557,4162514171,3039954835,3524354653,2259821732,11260338804,5390052038,737811954.9,3185850231,968914902.4,28245813468,379740640,20408223000,3004349132,27488489270,1833564332,865003375.2,2511392495,2441684413,382781119.7,4033158106,2433248806,1008561433,3058200992,114881992.6,542096448,315658372.8,6192566831,453307940.9,1390007922,235971992.3,4754625172,518331644.9,3920654184,273423029.9,50902223796,32109535008,19130120591,3959974198,7005146984,2451134715,1040582044,10306562875,821773854.7,9142672290,4570468744,8216551770,504015380.8,2180601188,896500953.4,535530655,359849736.4,2804124975,2193812678,11259320563,20760276343,7799472042,1014808028,25954385243,8550399888,6915947351,447009677,8.83588E+11,3559003187,0,8.80029E+11,1,8.83588E+11,103.8489068
